Timestamp,Eye Status,Skin Status,Model Prediction,Overall Status
2025-03-29 17:27:52,Open,Normal,Drowsy,Awake
2025-03-29 17:27:53,Open,Normal,Drowsy,Awake
2025-03-29 17:27:54,Open,Normal,Drowsy,Awake
2025-03-29 17:27:55,Closed,Normal,Drowsy,Awake
2025-03-29 17:28:06,Closed,Normal,Drowsy,Drowsy
2025-03-29 17:28:08,Closed,Normal,Drowsy,Drowsy
2025-03-29 17:28:09,Open,Normal,Drowsy,Awake
2025-03-29 17:28:10,Open,Normal,Drowsy,Awake
2025-03-29 17:28:12,Open,Normal,Drowsy,Awake
2025-03-29 17:28:13,Open,Normal,Drowsy,Awake
2025-03-29 17:28:14,Open,Normal,Drowsy,Awake
2025-03-29 17:28:15,Open,Normal,Drowsy,Awake
2025-03-29 17:28:18,Open,Normal,Drowsy,Awake
2025-03-29 17:28:19,Open,Normal,Drowsy,Awake
2025-03-29 17:28:21,Open,Normal,Drowsy,Awake
2025-03-29 17:28:22,Open,Normal,Drowsy,Awake
2025-03-29 17:28:23,Open,Normal,Drowsy,Awake
2025-03-29 17:28:24,Open,Normal,Drowsy,Awake
2025-03-29 17:28:26,Open,Normal,Drowsy,Awake
2025-03-29 17:28:27,Open,Normal,Drowsy,Awake
2025-03-29 17:28:29,Open,Normal,Drowsy,Awake
2025-03-29 17:28:30,Open,Normal,Drowsy,Awake
2025-03-29 17:28:33,Open,Normal,Drowsy,Awake
2025-03-29 17:28:34,Open,Normal,Drowsy,Awake
2025-03-29 17:28:35,Open,Normal,Drowsy,Awake
2025-03-29 17:28:36,Open,Normal,Drowsy,Awake
2025-03-29 17:28:37,Open,Normal,Drowsy,Awake
2025-03-29 17:28:38,Open,Normal,Drowsy,Awake
2025-03-29 17:28:39,Open,Normal,Drowsy,Awake
2025-03-29 17:28:43,Closed,Normal,Drowsy,Drowsy
2025-03-29 17:28:44,Closed,Normal,Drowsy,Drowsy
2025-03-29 17:28:46,Open,Normal,Drowsy,Awake
2025-03-29 17:28:47,Open,Normal,Drowsy,Awake
2025-03-29 17:28:48,Open,Normal,Drowsy,Awake
2025-03-29 17:28:49,Open,Normal,Drowsy,Awake
