timestamp,left_gaze,right_gaze
2025-03-29 16:46:05.256086,Center,Center
2025-03-29 16:46:05.320403,Center,Center
2025-03-29 16:46:05.354334,Center,Center
2025-03-29 16:46:05.387994,Center,Center
2025-03-29 16:46:05.420192,Center,Uncertain
2025-03-29 16:46:05.453426,Uncertain,Center
2025-03-29 16:46:05.486656,Uncertain,Uncertain
2025-03-29 16:46:05.520111,Uncertain,Uncertain
2025-03-29 16:46:05.553851,Uncertain,Uncertain
2025-03-29 16:46:05.620228,Uncertain,Uncertain
2025-03-29 16:46:05.655361,Uncertain,Uncertain
2025-03-29 16:46:05.689215,Uncertain,Uncertain
2025-03-29 16:46:05.722596,Uncertain,Uncertain
2025-03-29 16:46:05.755935,Uncertain,Uncertain
2025-03-29 16:46:05.788441,Uncertain,Uncertain
2025-03-29 16:46:05.822197,Uncertain,Uncertain
2025-03-29 16:46:05.853365,Uncertain,Uncertain
2025-03-29 16:46:05.922377,Uncertain,Uncertain
2025-03-29 16:46:05.954657,Uncertain,Uncertain
2025-03-29 16:46:05.988450,Uncertain,Uncertain
2025-03-29 16:46:06.021378,Uncertain,Uncertain
2025-03-29 16:46:06.055120,Uncertain,Uncertain
2025-03-29 16:46:06.087607,Uncertain,Uncertain
2025-03-29 16:46:06.121632,Uncertain,Uncertain
2025-03-29 16:46:06.153285,Uncertain,Uncertain
2025-03-29 16:46:06.188588,Uncertain,Uncertain
2025-03-29 16:46:06.221163,Uncertain,Uncertain
2025-03-29 16:46:06.254395,Uncertain,Uncertain
2025-03-29 16:46:06.287967,Uncertain,Uncertain
2025-03-29 16:46:06.320021,Uncertain,Uncertain
2025-03-29 16:46:06.354869,Uncertain,Uncertain
2025-03-29 16:46:06.388420,Uncertain,Uncertain
2025-03-29 16:46:06.421495,Uncertain,Uncertain
2025-03-29 16:46:06.453839,Uncertain,Uncertain
2025-03-29 16:46:06.488382,Uncertain,Uncertain
2025-03-29 16:46:06.521954,Uncertain,Uncertain
2025-03-29 16:46:06.554714,Uncertain,Uncertain
2025-03-29 16:46:06.588296,Uncertain,Uncertain
2025-03-29 16:46:06.621995,Uncertain,Uncertain
2025-03-29 16:46:06.654029,Uncertain,Uncertain
2025-03-29 16:46:06.687773,Uncertain,Uncertain
2025-03-29 16:46:06.721120,Uncertain,Uncertain
2025-03-29 16:46:06.754468,Uncertain,Uncertain
2025-03-29 16:46:06.788049,Uncertain,Uncertain
2025-03-29 16:46:06.821505,Uncertain,Uncertain
2025-03-29 16:46:06.854663,Uncertain,Uncertain
2025-03-29 16:46:06.887752,Uncertain,Uncertain
2025-03-29 16:46:06.921703,Uncertain,Uncertain
2025-03-29 16:46:06.956300,Uncertain,Uncertain
2025-03-29 16:46:06.988111,Uncertain,Uncertain
2025-03-29 16:46:07.022520,Uncertain,Uncertain
2025-03-29 16:46:07.055616,Uncertain,Uncertain
2025-03-29 16:46:07.088272,Uncertain,Uncertain
2025-03-29 16:46:07.122187,Uncertain,Uncertain
2025-03-29 16:46:07.155260,Uncertain,Uncertain
2025-03-29 16:46:07.189141,Uncertain,Uncertain
2025-03-29 16:46:07.221591,Uncertain,Uncertain
2025-03-29 16:46:07.255185,Uncertain,Uncertain
2025-03-29 16:46:07.288675,Uncertain,Uncertain
2025-03-29 16:46:07.322009,Uncertain,Uncertain
2025-03-29 16:46:07.355782,Uncertain,Uncertain
2025-03-29 16:46:07.389114,Uncertain,Uncertain
2025-03-29 16:46:07.422459,Uncertain,Uncertain
2025-03-29 16:46:07.455995,Uncertain,Uncertain
2025-03-29 16:46:07.489111,Uncertain,Uncertain
2025-03-29 16:46:07.522003,Uncertain,Uncertain
2025-03-29 16:46:07.554999,Uncertain,Uncertain
2025-03-29 16:46:07.588556,Uncertain,Uncertain
2025-03-29 16:46:07.621913,Uncertain,Uncertain
2025-03-29 16:46:07.655444,Uncertain,Uncertain
2025-03-29 16:46:07.688519,Uncertain,Uncertain
2025-03-29 16:46:07.722050,Uncertain,Uncertain
2025-03-29 16:46:07.755338,Uncertain,Uncertain
2025-03-29 16:46:07.788737,Uncertain,Uncertain
2025-03-29 16:46:07.821832,Uncertain,Uncertain
2025-03-29 16:46:07.854716,Uncertain,Uncertain
2025-03-29 16:46:07.888133,Uncertain,Uncertain
2025-03-29 16:46:07.921926,Uncertain,Uncertain
2025-03-29 16:46:07.954896,Uncertain,Uncertain
2025-03-29 16:46:07.988014,Uncertain,Uncertain
2025-03-29 16:46:08.021946,Uncertain,Uncertain
2025-03-29 16:46:08.055069,Uncertain,Uncertain
2025-03-29 16:46:08.088360,Uncertain,Uncertain
2025-03-29 16:46:08.121711,Uncertain,Uncertain
2025-03-29 16:46:08.154902,Uncertain,Uncertain
2025-03-29 16:46:08.188537,Uncertain,Uncertain
2025-03-29 16:46:08.221612,Uncertain,Uncertain
2025-03-29 16:46:08.255037,Uncertain,Uncertain
2025-03-29 16:46:08.287607,Uncertain,Uncertain
2025-03-29 16:46:08.321865,Uncertain,Uncertain
2025-03-29 16:46:08.355002,Uncertain,Uncertain
2025-03-29 16:46:08.388416,Uncertain,Uncertain
2025-03-29 16:46:08.421880,Uncertain,Uncertain
2025-03-29 16:46:08.454974,Uncertain,Uncertain
2025-03-29 16:46:08.485890,Uncertain,Uncertain
2025-03-29 16:46:08.521519,Uncertain,Uncertain
2025-03-29 16:46:08.554782,Uncertain,Uncertain
2025-03-29 16:46:08.587864,Uncertain,Uncertain
2025-03-29 16:46:08.621462,Uncertain,Uncertain
2025-03-29 16:46:08.654162,Uncertain,Uncertain
2025-03-29 16:46:08.687943,Uncertain,Uncertain
2025-03-29 16:46:08.721182,Uncertain,Uncertain
2025-03-29 16:46:08.754748,Uncertain,Uncertain
2025-03-29 16:46:08.787180,Uncertain,Uncertain
2025-03-29 16:46:08.820937,Uncertain,Uncertain
2025-03-29 16:46:08.854455,Uncertain,Uncertain
2025-03-29 16:46:08.887501,Uncertain,Uncertain
2025-03-29 16:46:08.921012,Uncertain,Uncertain
2025-03-29 16:46:08.954523,Uncertain,Uncertain
2025-03-29 16:46:08.987801,Uncertain,Uncertain
2025-03-29 16:46:09.021118,Uncertain,Uncertain
2025-03-29 16:46:09.053761,Uncertain,Uncertain
2025-03-29 16:46:09.087206,Uncertain,Uncertain
2025-03-29 16:46:09.121092,Uncertain,Uncertain
2025-03-29 16:46:09.153756,Uncertain,Uncertain
2025-03-29 16:46:09.187818,Uncertain,Uncertain
2025-03-29 16:46:09.221195,Uncertain,Uncertain
2025-03-29 16:46:09.253798,Uncertain,Uncertain
2025-03-29 16:46:09.287645,Uncertain,Uncertain
2025-03-29 16:46:09.321175,Uncertain,Uncertain
2025-03-29 16:46:09.353968,Uncertain,Uncertain
2025-03-29 16:46:09.386990,Uncertain,Uncertain
2025-03-29 16:46:09.420626,Uncertain,Uncertain
2025-03-29 16:46:09.454223,Uncertain,Uncertain
2025-03-29 16:46:09.487305,Uncertain,Uncertain
2025-03-29 16:46:09.521112,Uncertain,Uncertain
2025-03-29 16:46:09.553910,Uncertain,Uncertain
2025-03-29 16:46:09.587553,Uncertain,Uncertain
2025-03-29 16:46:09.620878,Uncertain,Uncertain
2025-03-29 16:46:09.654614,Uncertain,Uncertain
2025-03-29 16:46:09.687847,Uncertain,Uncertain
2025-03-29 16:46:09.721229,Uncertain,Uncertain
2025-03-29 16:46:09.753519,Uncertain,Uncertain
2025-03-29 16:46:09.787717,Uncertain,Uncertain
2025-03-29 16:46:09.820566,Uncertain,Uncertain
2025-03-29 16:46:09.853363,Uncertain,Uncertain
2025-03-29 16:46:09.887741,Uncertain,Uncertain
2025-03-29 16:46:09.920567,Uncertain,Uncertain
2025-03-29 16:46:09.953359,Uncertain,Uncertain
2025-03-29 16:46:09.987549,Uncertain,Uncertain
2025-03-29 16:46:10.020521,Uncertain,Uncertain
2025-03-29 16:46:10.053534,Uncertain,Uncertain
2025-03-29 16:46:10.087310,Uncertain,Uncertain
2025-03-29 16:46:10.120431,Uncertain,Uncertain
2025-03-29 16:46:10.153993,Uncertain,Uncertain
2025-03-29 16:46:10.186985,Uncertain,Uncertain
2025-03-29 16:46:10.218825,Uncertain,Uncertain
2025-03-29 16:46:10.253021,Uncertain,Uncertain
2025-03-29 16:46:10.287078,Uncertain,Uncertain
2025-03-29 16:46:10.319545,Uncertain,Uncertain
2025-03-29 16:46:10.353367,Uncertain,Uncertain
2025-03-29 16:46:10.386410,Uncertain,Uncertain
2025-03-29 16:46:10.420309,Uncertain,Uncertain
2025-03-29 16:46:10.453326,Uncertain,Uncertain
2025-03-29 16:46:10.486782,Uncertain,Uncertain
