Timestamp,Eye Status,Skin Status,Model Prediction,Overall Status
2025-04-11 11:06:09,Open,Normal,Drowsy,Awake
2025-04-11 11:06:10,Open,Normal,Drowsy,Awake
2025-04-11 11:06:11,No Data,Normal,Awake,Unknown
2025-04-11 11:06:12,Open,Normal,Drowsy,Awake
2025-04-11 11:06:14,Open,Normal,Drowsy,Awake
2025-04-11 11:06:16,No Data,Normal,Awake,Unknown
2025-04-11 11:06:17,Closed,Normal,Drowsy,Awake
2025-04-11 11:06:18,Open,Normal,Drowsy,Awake
2025-04-11 11:06:19,Open,Normal,Drowsy,Awake
2025-04-11 11:06:20,Open,Normal,Drowsy,Awake
2025-04-11 11:06:21,No Data,Normal,Awake,Unknown
2025-04-11 11:06:22,Open,Normal,Drowsy,Awake
2025-04-11 11:06:23,Open,Normal,Awake,Awake
2025-04-11 11:06:24,Open,Normal,Awake,Awake
2025-04-11 11:06:25,Open,Normal,Awake,Awake
2025-04-11 11:06:26,Open,Normal,Awake,Awake
2025-04-11 11:06:27,Open,Normal,Drowsy,Awake
2025-04-11 11:06:28,Open,Normal,Drowsy,Awake
2025-04-11 11:06:29,Closed,Normal,Drowsy,Awake
2025-04-11 11:06:30,Closed,Normal,Drowsy,Drowsy
2025-04-11 11:06:31,Open,Normal,Awake,Awake
2025-04-11 11:06:32,Open,Normal,Awake,Awake
2025-04-11 11:06:33,Open,Normal,Awake,Awake
2025-04-11 11:06:34,Open,Normal,Awake,Awake
2025-04-11 11:06:35,Open,Normal,Awake,Awake
2025-04-11 11:06:36,Open,Normal,Awake,Awake
2025-04-11 11:06:39,Closed,Normal,Awake,Drowsy
2025-04-11 11:06:40,Open,Normal,Drowsy,Awake
2025-04-11 11:06:41,Open,Normal,Awake,Awake
2025-04-11 11:06:42,No Data,Normal,Awake,Unknown
2025-04-11 11:06:43,Closed,Normal,Awake,Drowsy
2025-04-11 11:06:45,Closed,Normal,Drowsy,Drowsy
2025-04-11 11:06:46,Closed,Normal,Awake,Drowsy
2025-04-11 11:06:47,Open,Normal,Awake,Awake
2025-04-11 11:06:48,Open,Normal,Drowsy,Awake
2025-04-11 11:06:49,Open,Normal,Awake,Awake
2025-04-11 11:06:50,Open,Normal,Awake,Awake
2025-04-11 11:06:51,No Data,Normal,Awake,Unknown
2025-04-11 11:06:52,Closed,Normal,Awake,Drowsy
2025-04-11 11:06:53,Closed,Normal,Awake,Drowsy
2025-04-11 11:06:55,Closed,Normal,Drowsy,Drowsy
2025-04-11 11:06:56,Open,Normal,Drowsy,Awake
2025-04-11 11:06:57,No Data,Normal,Awake,Unknown
