Timestamp,Eye Status,Skin Status,Model Prediction,Overall Status
2025-04-20 14:00:10,Open,Normal,Drowsy,Awake
2025-04-20 14:00:11,Open,Normal,Drowsy,Awake
2025-04-20 14:00:12,Open,Normal,Awake,Awake
2025-04-20 14:00:15,Open,Normal,Drowsy,Awake
2025-04-20 14:00:16,Open,Normal,Drowsy,Awake
2025-04-20 14:00:17,Open,Normal,Drowsy,Awake
2025-04-20 14:00:18,Open,Normal,Drowsy,Awake
2025-04-20 14:00:19,Open,Normal,Drowsy,Awake
2025-04-20 14:00:20,Open,Normal,Drowsy,Awake
2025-04-20 14:00:21,Open,Normal,Drowsy,Awake
2025-04-20 14:00:22,Open,Normal,Drowsy,Awake
2025-04-20 14:00:23,Open,Normal,Drowsy,Awake
2025-04-20 14:00:24,Open,Normal,Drowsy,Awake
2025-04-20 14:00:25,Closed,Normal,Drowsy,Awake
2025-04-20 14:00:26,Closed,Normal,Drowsy,Awake
2025-04-20 14:00:27,Open,Normal,Awake,Awake
2025-04-20 14:00:28,Open,Normal,Drowsy,Awake
2025-04-20 14:00:29,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:00:31,Open,Normal,Drowsy,Awake
2025-04-20 14:00:32,Open,Normal,Awake,Awake
2025-04-20 14:00:33,Open,Normal,Drowsy,Awake
2025-04-20 14:00:34,Open,Normal,Awake,Awake
2025-04-20 14:00:35,Open,Normal,Drowsy,Awake
2025-04-20 14:00:36,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:00:37,Open,Normal,Drowsy,Awake
2025-04-20 14:00:38,Open,Normal,Drowsy,Awake
2025-04-20 14:00:39,Open,Normal,Awake,Awake
2025-04-20 14:00:40,Open,Normal,Drowsy,Awake
2025-04-20 14:00:41,Open,Normal,Drowsy,Awake
2025-04-20 14:00:42,Open,Normal,Drowsy,Awake
2025-04-20 14:00:43,Open,Normal,Drowsy,Awake
2025-04-20 14:00:44,Open,Normal,Drowsy,Awake
2025-04-20 14:00:46,Open,Normal,Drowsy,Awake
2025-04-20 14:00:47,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:00:48,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:00:49,Open,Normal,Drowsy,Awake
2025-04-20 14:00:50,Open,Normal,Drowsy,Awake
2025-04-20 14:00:51,Open,Normal,Drowsy,Awake
2025-04-20 14:00:52,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:00:53,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:00:54,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:00:55,Open,Normal,Drowsy,Awake
2025-04-20 14:00:56,Open,Normal,Drowsy,Awake
2025-04-20 14:00:57,Open,Normal,Drowsy,Awake
2025-04-20 14:00:58,Open,Normal,Drowsy,Awake
2025-04-20 14:00:59,Open,Normal,Awake,Awake
2025-04-20 14:01:01,Open,Normal,Awake,Awake
2025-04-20 14:01:02,Open,Normal,Awake,Awake
2025-04-20 14:01:03,Open,Normal,Drowsy,Awake
2025-04-20 14:01:04,No Data,Normal,Awake,Unknown
2025-04-20 14:01:05,Open,Normal,Drowsy,Awake
2025-04-20 14:01:06,Open,Normal,Drowsy,Awake
2025-04-20 14:01:07,Open,Normal,Drowsy,Awake
2025-04-20 14:01:08,Open,Normal,Drowsy,Awake
2025-04-20 14:01:09,Open,Normal,Drowsy,Awake
2025-04-20 14:01:10,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:01:11,Open,Normal,Drowsy,Awake
2025-04-20 14:01:12,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:01:14,Open,Normal,Drowsy,Awake
2025-04-20 14:01:15,Open,Normal,Drowsy,Awake
2025-04-20 14:01:16,Open,Normal,Drowsy,Awake
2025-04-20 14:01:17,Open,Normal,Drowsy,Awake
2025-04-20 14:01:18,Open,Normal,Drowsy,Awake
2025-04-20 14:01:19,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:01:20,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:01:21,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:01:22,Closed,Normal,Drowsy,Drowsy
2025-04-20 14:01:23,Open,Normal,Drowsy,Awake
2025-04-20 14:01:24,Open,Normal,Drowsy,Awake
2025-04-20 14:01:25,Open,Normal,Drowsy,Awake
2025-04-20 14:01:26,Open,Normal,Drowsy,Awake
2025-04-20 14:01:27,Open,Normal,Drowsy,Awake
2025-04-20 14:01:29,Open,Normal,Drowsy,Awake
2025-04-20 14:01:30,Open,Normal,Drowsy,Awake
