Frame,EAR,Blinks,Blink_STD,Pupil_Delta,Gaze_Instability,AU_Score,AU_StressPoints,Stress_Score
1,0.36,0,0.00,0.00,0.0000,0.00,0.0,0
2,0.35,0,0.00,0.00,0.0000,0.00,0.0,0
3,0.36,0,0.00,0.01,0.0000,0.00,0.0,0
4,0.33,0,0.00,0.03,0.0000,0.00,0.0,0
5,0.32,0,0.00,0.03,0.1333,0.00,0.0,0
6,0.37,0,0.00,0.03,0.1543,0.00,0.0,0
7,0.35,0,0.00,0.03,0.2108,0.00,0.0,0
8,0.35,0,0.00,0.03,0.3897,0.00,0.0,0
9,0.33,0,0.00,0.03,0.6565,0.00,0.0,0
10,0.32,0,0.00,0.03,0.9079,0.00,0.0,0
11,0.34,0,0.00,0.03,1.2927,0.00,0.0,0
12,0.35,0,0.00,0.03,1.6595,0.00,0.0,0
13,0.37,0,0.00,0.03,1.9580,0.00,0.0,0
14,0.33,0,0.00,0.03,2.1708,0.00,0.0,0
15,0.33,0,0.00,0.03,2.3629,0.00,0.0,0
16,0.30,0,0.00,0.03,2.6370,0.00,0.0,0
17,0.33,0,0.00,0.03,3.2218,0.00,0.0,0
18,0.31,0,0.00,0.03,3.5318,0.00,0.0,0
19,0.35,0,0.00,0.04,3.5309,0.00,0.0,0
20,0.34,0,0.00,0.04,3.4814,0.00,0.0,0
21,0.31,0,0.00,0.04,3.4304,0.00,0.0,0
22,0.31,0,0.00,0.04,3.3828,0.00,0.0,0
23,0.32,0,0.00,0.04,3.3353,0.00,0.0,0
24,0.31,0,0.00,0.04,3.2860,0.00,0.0,0
25,0.29,0,0.00,0.04,3.2261,0.00,0.0,0
26,0.30,0,0.00,0.04,3.1656,0.00,0.0,0
27,0.31,0,0.00,0.04,3.1187,0.00,0.0,0
28,0.31,0,0.00,0.04,3.0998,0.62,0.7,2
29,0.31,0,0.00,0.04,3.0978,0.62,0.7,2
30,0.34,0,0.00,0.04,3.1198,0.62,0.7,2
31,0.30,0,0.00,0.04,3.1457,0.62,0.7,2
32,0.36,0,0.00,0.04,3.1644,0.62,0.7,2
33,0.33,0,0.00,0.04,3.1718,0.62,0.7,2
34,0.34,0,0.00,0.04,3.1700,0.62,0.7,2
35,0.30,0,0.00,0.04,3.1488,0.62,0.7,2
36,0.32,0,0.00,0.04,3.1252,0.62,0.7,2
37,0.31,0,0.00,0.04,3.0949,0.62,0.7,2
38,0.35,0,0.00,0.04,3.0679,0.62,0.7,2
39,0.32,0,0.00,0.04,3.0418,0.62,0.7,2
40,0.33,0,0.00,0.04,3.0196,0.62,0.7,2
41,0.32,0,0.00,0.04,3.0033,0.62,0.7,2
42,0.34,0,0.00,0.04,2.9914,0.62,0.7,2
43,0.35,0,0.00,0.04,2.9832,0.62,0.7,2
44,0.35,0,0.00,0.04,2.9833,0.62,0.7,2
45,0.34,0,0.00,0.04,2.9817,0.62,0.7,2
46,0.34,0,0.00,0.04,2.9717,0.62,0.7,2
47,0.36,0,0.00,0.04,2.9694,0.62,0.7,2
48,0.36,0,0.00,0.04,2.9667,0.62,0.7,2
49,0.35,0,0.00,0.04,2.9624,0.91,0.0,0
50,0.36,0,0.00,0.04,2.9579,0.91,0.0,0
51,0.41,0,0.00,0.04,2.9555,0.91,0.0,0
52,0.38,0,0.00,0.04,2.9521,0.91,0.0,0
53,0.37,0,0.00,0.04,2.9453,0.91,0.0,0
54,0.37,0,0.00,0.04,2.9377,0.91,0.0,0
55,0.36,0,0.00,0.04,2.9302,0.91,0.0,0
56,0.40,0,0.00,0.04,2.9259,0.91,0.0,0
57,0.35,0,0.00,0.04,2.9272,0.91,0.0,0
58,0.40,0,0.00,0.04,2.9177,0.91,0.0,0
59,0.37,0,0.00,0.04,2.9123,0.91,0.0,0
60,0.38,0,0.00,0.04,2.9070,0.91,0.0,0
61,0.36,0,0.00,0.04,2.9013,0.91,0.0,0
62,0.34,0,0.00,0.04,2.8972,0.91,0.0,0
63,0.35,0,0.00,0.04,2.8936,0.91,0.0,0
64,0.36,0,0.00,0.04,2.8837,0.91,0.0,0
65,0.37,0,0.00,0.04,2.8732,0.91,0.0,0
66,0.36,0,0.00,0.04,2.8646,0.91,0.0,0
67,0.35,0,0.00,0.04,2.8574,0.48,1.5,3
68,0.33,0,0.00,0.04,2.8515,0.48,1.5,3
69,0.34,0,0.00,0.04,2.8459,0.48,1.5,3
70,0.34,0,0.00,0.04,2.8414,0.48,1.5,3
71,0.33,0,0.00,0.04,2.8390,0.48,1.5,3
72,0.34,0,0.00,0.05,2.8411,0.48,1.5,3
73,0.09,1,0.00,0.05,2.8593,0.48,1.5,3
74,0.06,1,0.00,0.14,2.8805,0.48,1.5,3
75,0.13,1,0.00,0.14,2.8992,0.48,1.5,3
76,0.26,1,0.00,0.14,2.9119,0.48,1.5,3
77,0.26,1,0.00,0.14,2.9231,0.48,1.5,3
78,0.23,1,0.00,0.14,2.9327,0.48,1.5,3
79,0.27,1,0.00,0.14,2.9413,0.48,1.5,3
80,0.25,1,0.00,0.14,2.9501,0.48,1.5,3
81,0.21,1,0.00,0.14,2.9609,0.48,1.5,3
82,0.22,1,0.00,0.14,2.9733,0.48,1.5,3
83,0.23,1,0.00,0.14,2.9866,0.48,1.5,3
84,0.21,1,0.00,0.14,2.9965,0.48,1.5,3
85,0.17,2,0.00,0.14,3.0089,0.48,1.5,3
86,0.04,2,0.00,0.14,3.0375,0.48,1.5,3
87,0.05,2,0.00,0.14,3.0727,0.48,1.5,3
88,0.04,2,0.00,0.14,3.0983,0.48,1.5,3
89,0.02,2,0.00,0.14,3.1177,0.00,0.0,0
90,0.05,2,0.00,0.14,3.1438,0.00,0.0,0
91,0.06,2,0.00,0.14,3.1639,0.00,0.0,0
92,0.04,2,0.00,0.14,3.1792,0.00,0.0,0
93,0.04,2,0.00,0.14,3.1894,0.00,0.0,0
94,0.03,2,0.00,0.14,3.1978,0.00,0.0,0
95,0.02,2,0.00,0.14,3.2032,0.00,0.0,0
96,0.04,2,0.00,0.14,3.2020,0.00,0.0,0
97,0.06,2,0.00,0.14,3.1952,0.00,0.0,0
98,0.23,2,0.00,0.14,3.1855,0.00,0.0,0
99,0.24,2,0.00,0.14,3.1744,0.00,0.0,0
100,0.22,2,0.00,0.14,3.1616,0.00,0.0,0
101,0.24,2,0.00,0.14,3.1488,0.00,0.0,0
102,0.22,2,0.00,0.14,3.1362,0.00,0.0,0
103,0.21,2,0.00,0.14,3.1239,0.00,0.0,0
104,0.17,3,0.23,0.14,3.1121,0.00,0.0,0
105,0.06,3,0.23,0.14,3.1044,0.00,0.0,0
106,0.08,3,0.23,0.14,3.0995,0.00,0.0,0
107,0.20,3,0.23,0.14,3.0977,0.00,0.0,0
108,0.24,3,0.23,0.14,3.0988,0.00,0.0,0
109,0.21,3,0.23,0.14,3.0976,0.00,0.0,0
110,0.22,3,0.23,0.14,3.0914,0.00,0.0,0
111,0.26,3,0.23,0.14,3.0829,0.00,0.0,0
112,0.17,4,0.30,0.14,3.0743,0.00,0.0,0
113,0.21,4,0.30,0.14,3.0657,0.00,0.0,0
114,0.21,4,0.30,0.14,3.0576,1.04,1.5,3
115,0.21,4,0.30,0.14,3.0498,1.04,1.5,3
116,0.24,4,0.30,0.14,3.0429,1.04,1.5,3
117,0.25,4,0.30,0.14,3.0367,1.04,1.5,3
118,0.31,4,0.30,0.14,3.0299,1.04,1.5,3
119,0.29,4,0.30,0.14,3.0268,1.04,1.5,3
120,0.28,4,0.30,0.14,3.0424,1.04,1.5,3
121,0.28,4,0.30,0.14,3.0415,1.04,1.5,3
122,0.31,4,0.30,0.14,3.0497,1.04,1.5,3
123,0.30,4,0.30,0.14,3.0530,1.04,1.5,3
124,0.31,4,0.30,0.14,3.0630,1.04,1.5,3
125,0.30,4,0.30,0.14,3.0692,1.04,1.5,3
126,0.30,4,0.30,0.14,3.0766,1.04,1.5,3
127,0.29,4,0.30,0.14,3.0831,1.04,1.5,3
128,0.29,4,0.30,0.14,3.0855,1.04,1.5,3
129,0.34,4,0.30,0.14,3.0923,1.04,1.5,3
130,0.31,4,0.30,0.14,3.1009,1.04,1.5,3
131,0.28,4,0.30,0.14,3.1074,1.04,1.5,3
132,0.32,4,0.30,0.14,3.1093,1.04,1.5,3
133,0.29,4,0.30,0.14,3.1102,1.04,1.5,3
134,0.31,4,0.30,0.14,3.1117,0.93,2.2,3
135,0.30,4,0.30,0.14,3.1137,0.93,2.2,3
136,0.30,4,0.30,0.14,3.1134,0.93,2.2,3
137,0.28,4,0.30,0.14,3.1132,0.93,2.2,3
138,0.27,4,0.30,0.14,3.1133,0.93,2.2,3
139,0.27,4,0.30,0.14,3.1174,0.93,2.2,3
140,0.29,4,0.30,0.14,3.1182,0.93,2.2,3
141,0.24,4,0.30,0.15,3.1219,0.93,2.2,3
142,0.23,4,0.30,0.15,3.1156,0.93,2.2,3
143,0.26,4,0.30,0.15,3.1138,0.93,2.2,3
144,0.26,4,0.30,0.15,3.1090,0.93,2.2,3
145,0.26,4,0.30,0.15,3.1070,0.93,2.2,3
146,0.26,4,0.30,0.15,3.1037,0.93,2.2,3
147,0.27,4,0.30,0.15,3.1006,0.93,2.2,3
148,0.28,4,0.30,0.15,3.0967,0.93,2.2,3
149,0.28,4,0.30,0.15,3.0921,0.93,2.2,3
150,0.26,4,0.30,0.15,3.0873,0.93,2.2,3
151,0.25,4,0.30,0.15,3.0831,0.93,2.2,3
152,0.26,4,0.30,0.15,3.0779,0.93,2.2,3
153,0.26,4,0.30,0.15,3.0732,0.93,2.2,3
154,0.26,4,0.30,0.15,3.0685,0.57,0.7,2
155,0.27,4,0.30,0.15,3.0640,0.57,0.7,2
156,0.25,4,0.30,0.15,3.0587,0.57,0.7,2
157,0.06,5,1.21,0.15,3.0518,0.57,0.7,2
158,0.07,5,1.21,0.15,3.0447,0.57,0.7,2
159,0.01,5,1.21,0.15,3.0377,0.57,0.7,2
160,0.01,5,1.21,0.15,3.0314,0.57,0.7,2
161,0.04,5,1.21,0.15,3.0242,0.57,0.7,2
162,0.06,5,1.21,0.15,3.0167,0.57,0.7,2
163,0.05,5,1.21,0.15,3.0097,0.57,0.7,2
164,0.02,5,1.21,0.15,3.0036,0.57,0.7,2
165,0.07,5,1.21,0.15,2.9975,0.57,0.7,2
166,0.15,5,1.21,0.15,2.9917,0.57,0.7,2
167,0.21,5,1.21,0.15,2.9858,0.57,0.7,2
168,0.30,5,1.21,0.15,2.9811,0.57,0.7,2
169,0.35,5,1.21,0.15,2.9780,0.57,0.7,2
170,0.36,5,1.21,0.15,2.9764,0.57,0.7,2
171,0.35,5,1.21,0.15,2.9818,0.57,0.7,2
172,0.35,5,1.21,0.15,2.9857,0.57,0.7,2
173,0.35,5,1.21,0.15,2.9821,0.57,0.7,2
174,0.37,5,1.21,0.15,2.9781,0.72,1.9,2
175,0.40,5,1.21,0.15,2.9773,0.72,1.9,2
176,0.37,5,1.21,0.15,2.9761,0.72,1.9,2
177,0.38,5,1.21,0.15,2.9784,0.72,1.9,2
178,0.38,5,1.21,0.15,2.9745,0.72,1.9,2
179,0.33,5,1.21,0.15,2.9712,0.72,1.9,2
180,0.38,5,1.21,0.15,2.9704,0.72,1.9,2
181,0.35,5,1.21,0.15,2.9650,0.72,1.9,2
182,0.33,5,1.21,0.15,2.9610,0.72,1.9,2
183,0.29,5,1.21,0.15,2.9568,0.72,1.9,2
184,0.34,5,1.21,0.15,2.9529,0.72,1.9,2
185,0.34,5,1.21,0.15,2.9487,0.72,1.9,2
186,0.35,5,1.21,0.15,2.9443,0.72,1.9,2
187,0.33,5,1.21,0.15,2.9401,0.72,1.9,2
188,0.36,5,1.21,0.15,2.9340,0.72,1.9,2
189,0.32,5,1.21,0.15,2.9289,0.72,1.9,2
190,0.33,5,1.21,0.15,2.9273,0.72,1.9,2
191,0.33,5,1.21,0.15,2.9230,0.72,1.9,2
192,0.34,5,1.21,0.15,2.9158,0.72,1.9,2
193,0.37,5,1.21,0.15,2.9097,0.72,1.9,2
194,0.34,5,1.21,0.15,2.9042,0.72,1.9,2
195,0.40,5,1.21,0.15,2.8982,0.72,1.9,2
196,0.39,5,1.21,0.15,2.8934,0.00,0.0,0
197,0.43,5,1.21,0.15,2.8887,0.00,0.0,0
198,0.43,5,1.21,0.15,2.8852,0.00,0.0,0
199,0.47,5,1.21,0.15,2.8815,0.00,0.0,0
200,0.44,5,1.21,0.15,2.8779,0.00,0.0,0
201,0.47,5,1.21,0.15,2.8740,0.00,0.0,0
202,0.44,5,1.21,0.15,2.8692,0.00,0.0,0
203,0.44,5,1.21,0.15,2.8643,0.00,0.0,0
204,0.47,5,1.21,0.15,2.8594,0.00,0.0,0
205,0.44,5,1.21,0.15,2.8544,0.00,0.0,0
206,0.34,5,1.21,0.15,2.8476,0.00,0.0,0
207,0.32,5,1.21,0.15,2.8411,0.00,0.0,0
208,0.13,6,1.52,0.15,2.8349,0.00,0.0,0
209,0.10,6,1.52,0.15,2.8304,0.00,0.0,0
210,0.12,6,1.52,0.15,2.8282,0.00,0.0,0
211,0.27,6,1.52,0.15,2.8279,0.00,0.0,0
212,0.27,6,1.52,0.15,2.8256,0.00,0.0,0
213,0.19,7,1.54,0.15,2.8273,0.00,0.0,0
214,0.24,7,1.54,0.15,2.8465,0.00,0.0,0
215,0.25,7,1.54,0.15,2.8578,0.64,0.0,0
216,0.24,7,1.54,0.15,2.8604,0.64,0.0,0
