Frame,EAR,Blinks,Blink_STD,Pupil_Delta,Gaze_Instability,AU_Score,AU_StressPoints,Stress_Score
1,0.35,0,0.00,0.00,0.0000,0.00,0.0,0
2,0.34,0,0.00,0.02,0.0000,0.00,0.0,0
3,0.33,0,0.00,0.02,0.0000,0.00,0.0,0
4,0.33,0,0.00,0.03,0.0000,0.00,0.0,0
5,0.35,0,0.00,0.03,0.1183,0.00,0.0,1
6,0.34,0,0.00,0.03,0.1311,0.00,0.0,1
7,0.33,0,0.00,0.03,0.1255,0.00,0.0,1
8,0.33,0,0.00,0.03,0.1186,0.00,0.0,1
9,0.32,0,0.00,0.03,0.1160,0.00,0.0,1
10,0.31,0,0.00,0.03,0.1159,0.00,0.0,1
11,0.31,0,0.00,0.03,0.1198,0.00,0.0,1
12,0.30,0,0.00,0.03,0.1302,0.00,0.0,1
13,0.30,0,0.00,0.03,0.1420,0.00,0.0,1
14,0.30,0,0.00,0.03,0.1564,0.00,0.0,1
15,0.29,0,0.00,0.03,0.1678,0.00,0.0,1
16,0.29,0,0.00,0.03,0.1679,0.00,0.0,1
17,0.27,0,0.00,0.03,0.1635,0.00,0.0,1
18,0.28,0,0.00,0.03,0.1591,0.00,0.0,1
19,0.28,0,0.00,0.03,0.1595,0.00,0.0,1
20,0.28,0,0.00,0.03,0.1638,0.00,0.0,1
21,0.30,0,0.00,0.03,0.1694,0.00,0.0,1
22,0.28,0,0.00,0.03,0.1818,0.00,0.0,1
23,0.29,0,0.00,0.03,0.2019,0.00,0.0,1
24,0.27,0,0.00,0.03,0.2258,0.00,0.0,1
25,0.22,0,0.00,0.04,0.2912,0.00,0.0,1
26,0.24,0,0.00,0.04,0.3407,0.00,0.0,1
27,0.25,0,0.00,0.04,0.3773,0.00,0.0,1
28,0.25,0,0.00,0.04,0.4069,0.00,0.0,1
29,0.25,0,0.00,0.04,0.4262,0.00,0.0,1
30,0.26,0,0.00,0.04,0.4404,0.28,0.0,1
31,0.25,0,0.00,0.04,0.4484,0.28,0.0,1
32,0.25,0,0.00,0.04,0.4555,0.28,0.0,1
33,0.25,0,0.00,0.04,0.4615,0.28,0.0,1
34,0.24,0,0.00,0.04,0.4680,0.28,0.0,1
35,0.23,0,0.00,0.04,0.4727,0.28,0.0,1
36,0.24,0,0.00,0.04,0.4756,0.28,0.0,1
37,0.25,0,0.00,0.04,0.4785,0.28,0.0,1
38,0.26,0,0.00,0.04,0.4809,0.28,0.0,1
39,0.25,0,0.00,0.04,0.4835,0.28,0.0,1
40,0.25,0,0.00,0.04,0.4854,0.28,0.0,1
41,0.24,0,0.00,0.04,0.4870,0.28,0.0,1
42,0.24,0,0.00,0.04,0.4883,0.28,0.0,1
43,0.25,0,0.00,0.04,0.4896,0.28,0.0,1
44,0.25,0,0.00,0.04,0.4904,0.28,0.0,1
45,0.25,0,0.00,0.04,0.4912,0.28,0.0,1
46,0.25,0,0.00,0.04,0.4918,0.28,0.0,1
47,0.25,0,0.00,0.04,0.4921,0.28,0.0,1
48,0.25,0,0.00,0.04,0.4927,0.28,0.0,1
49,0.25,0,0.00,0.04,0.4930,0.28,0.0,1
50,0.25,0,0.00,0.04,0.4928,0.28,0.0,1
51,0.25,0,0.00,0.04,0.4918,0.34,0.0,1
52,0.25,0,0.00,0.04,0.4911,0.34,0.0,1
53,0.24,0,0.00,0.04,0.4898,0.34,0.0,1
54,0.24,0,0.00,0.04,0.4890,0.34,0.0,1
55,0.25,0,0.00,0.04,0.4872,0.34,0.0,1
56,0.25,0,0.00,0.04,0.4856,0.34,0.0,1
57,0.25,0,0.00,0.04,0.4837,0.34,0.0,1
58,0.24,0,0.00,0.04,0.4821,0.34,0.0,1
59,0.24,0,0.00,0.04,0.4809,0.34,0.0,1
60,0.24,0,0.00,0.04,0.4781,0.34,0.0,1
61,0.28,0,0.00,0.04,0.4758,0.34,0.0,1
62,0.29,0,0.00,0.04,0.4734,0.34,0.0,1
63,0.31,0,0.00,0.04,0.4710,0.34,0.0,1
64,0.30,0,0.00,0.04,0.4688,0.34,0.0,1
65,0.31,0,0.00,0.04,0.4666,0.34,0.0,1
66,0.31,0,0.00,0.04,0.4643,0.34,0.0,1
67,0.31,0,0.00,0.04,0.4619,0.34,0.0,1
68,0.31,0,0.00,0.04,0.4594,0.34,0.0,1
69,0.32,0,0.00,0.04,0.4567,0.34,0.0,1
70,0.32,0,0.00,0.04,0.4543,0.34,0.0,1
71,0.32,0,0.00,0.04,0.4518,0.34,0.0,1
72,0.31,0,0.00,0.04,0.4495,0.30,0.7,1
73,0.31,0,0.00,0.04,0.4471,0.30,0.7,1
74,0.31,0,0.00,0.04,0.4447,0.30,0.7,1
75,0.31,0,0.00,0.04,0.4424,0.30,0.7,1
76,0.29,0,0.00,0.04,0.4398,0.30,0.7,1
77,0.25,0,0.00,0.04,0.4420,0.30,0.7,1
78,0.24,0,0.00,0.04,0.4442,0.30,0.7,1
79,0.25,0,0.00,0.04,0.4460,0.30,0.7,1
80,0.26,0,0.00,0.04,0.4471,0.30,0.7,1
81,0.26,0,0.00,0.04,0.4483,0.30,0.7,1
82,0.24,0,0.00,0.04,0.4500,0.30,0.7,1
83,0.04,1,0.00,0.05,0.4510,0.30,0.7,1
84,0.03,1,0.00,0.07,0.4503,0.30,0.7,1
85,0.12,1,0.00,0.07,0.4481,0.30,0.7,1
86,0.28,1,0.00,0.07,0.4457,0.30,0.7,1
87,0.30,1,0.00,0.07,0.4435,0.30,0.7,1
88,0.31,1,0.00,0.07,0.4421,0.30,0.7,1
89,0.33,1,0.00,0.07,0.4414,0.30,0.7,1
90,0.33,1,0.00,0.07,0.4413,0.30,0.7,1
91,0.10,2,0.00,0.07,0.4436,0.30,0.7,1
92,0.03,2,0.00,0.07,0.4459,0.30,0.7,1
93,0.24,2,0.00,0.08,0.4731,0.30,0.7,1
94,0.32,2,0.00,0.08,0.4851,0.30,0.7,1
95,0.31,2,0.00,0.08,0.4945,0.30,0.7,1
96,0.08,3,0.10,0.09,0.4939,0.30,0.7,1
97,0.11,3,0.10,0.09,0.5064,0.30,0.7,1
98,0.25,3,0.10,0.09,0.5206,0.30,0.7,1
99,0.27,3,0.10,0.09,0.5294,0.00,0.0,1
100,0.06,4,0.09,0.09,0.5291,0.00,0.0,1
101,0.27,4,0.09,0.09,0.5327,0.00,0.0,1
102,0.31,4,0.09,0.09,0.5538,0.00,0.0,1
103,0.31,4,0.09,0.09,0.6266,0.00,0.0,1
104,0.34,4,0.09,0.09,0.7684,0.00,0.0,1
105,0.34,4,0.09,0.09,0.9010,0.00,0.0,1
106,0.07,5,0.09,0.09,0.9967,0.00,0.0,1
107,0.29,5,0.09,0.09,1.0958,0.00,0.0,1
108,0.34,5,0.09,0.09,1.1882,0.00,0.0,1
109,0.37,5,0.09,0.09,1.2661,0.00,0.0,1
110,0.39,5,0.09,0.09,1.3295,0.00,0.0,1
111,0.38,5,0.09,0.09,1.3816,0.00,0.0,1
112,0.38,5,0.09,0.09,1.4264,0.00,0.0,1
113,0.39,5,0.09,0.09,1.4693,0.00,0.0,1
